2018-05-08 16:22:40 status installed libmath-calc-units-perl:all 1.07-1
2018-05-08 16:22:40 configure libparams-classify-perl:amd64 0.013-5build1 <none>
2018-05-08 16:22:40 status unpacked libparams-classify-perl:amd64 0.013-5build1
2018-05-08 16:22:40 status half-configured libparams-classify-perl:amd64 0.013-5build1
2018-05-08 16:22:40 status installed libparams-classify-perl:amd64 0.013-5build1
2018-05-08 16:22:40 configure libmodule-runtime-perl:all 0.014-2 <none>
2018-05-08 16:22:40 status unpacked libmodule-runtime-perl:all 0.014-2
2018-05-08 16:22:40 status half-configured libmodule-runtime-perl:all 0.014-2
2018-05-08 16:22:40 status installed libmodule-runtime-perl:all 0.014-2
2018-05-08 16:22:40 configure libtry-tiny-perl:all 0.24-1 <none>
2018-05-08 16:22:40 status unpacked libtry-tiny-perl:all 0.24-1
2018-05-08 16:22:40 status half-configured libtry-tiny-perl:all 0.24-1
2018-05-08 16:22:40 status installed libtry-tiny-perl:all 0.24-1
2018-05-08 16:22:40 configure libmodule-implementation-perl:all 0.09-1 <none>
2018-05-08 16:22:40 status unpacked libmodule-implementation-perl:all 0.09-1
2018-05-08 16:22:40 status half-configured libmodule-implementation-perl:all 0.09-1
2018-05-08 16:22:40 status installed libmodule-implementation-perl:all 0.09-1
2018-05-08 16:22:40 configure libparams-validate-perl:amd64 1.22-1 <none>
2018-05-08 16:22:40 status unpacked libparams-validate-perl:amd64 1.22-1
2018-05-08 16:22:40 status half-configured libparams-validate-perl:amd64 1.22-1
2018-05-08 16:22:40 status installed libparams-validate-perl:amd64 1.22-1
2018-05-08 16:22:40 configure libnagios-plugin-perl:all 0.36-2 <none>
2018-05-08 16:22:40 status unpacked libnagios-plugin-perl:all 0.36-2
2018-05-08 16:22:40 status half-configured libnagios-plugin-perl:all 0.36-2
2018-05-08 16:22:40 status installed libnagios-plugin-perl:all 0.36-2
2018-05-08 16:22:40 startup packages configure
2018-05-09 06:59:32 startup archives unpack
2018-05-09 06:59:32 upgrade distro-info-data:all 0.28ubuntu0.3 0.28ubuntu0.8
2018-05-09 06:59:32 status half-configured distro-info-data:all 0.28ubuntu0.3
2018-05-09 06:59:32 status unpacked distro-info-data:all 0.28ubuntu0.3
2018-05-09 06:59:32 status half-installed distro-info-data:all 0.28ubuntu0.3
2018-05-09 06:59:32 status half-installed distro-info-data:all 0.28ubuntu0.3
2018-05-09 06:59:32 status unpacked distro-info-data:all 0.28ubuntu0.8
2018-05-09 06:59:32 status unpacked distro-info-data:all 0.28ubuntu0.8
2018-05-09 06:59:32 upgrade libwebkit2gtk-4.0-37-gtk2:amd64 2.20.1-0ubuntu0.16.04.1 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:32 status half-configured libwebkit2gtk-4.0-37-gtk2:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:32 status unpacked libwebkit2gtk-4.0-37-gtk2:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:32 status half-installed libwebkit2gtk-4.0-37-gtk2:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:34 status half-installed libwebkit2gtk-4.0-37-gtk2:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:34 status unpacked libwebkit2gtk-4.0-37-gtk2:amd64 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:34 status unpacked libwebkit2gtk-4.0-37-gtk2:amd64 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:34 upgrade libwebkit2gtk-4.0-37:amd64 2.20.1-0ubuntu0.16.04.1 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:34 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-05-09 06:59:34 status half-configured libwebkit2gtk-4.0-37:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:34 status unpacked libwebkit2gtk-4.0-37:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:34 status half-installed libwebkit2gtk-4.0-37:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status half-installed libwebkit2gtk-4.0-37:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status unpacked libwebkit2gtk-4.0-37:amd64 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:35 status unpacked libwebkit2gtk-4.0-37:amd64 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:35 upgrade libjavascriptcoregtk-4.0-18:amd64 2.20.1-0ubuntu0.16.04.1 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:35 status half-configured libjavascriptcoregtk-4.0-18:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status unpacked libjavascriptcoregtk-4.0-18:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status half-installed libjavascriptcoregtk-4.0-18:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status half-installed libjavascriptcoregtk-4.0-18:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status unpacked libjavascriptcoregtk-4.0-18:amd64 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:35 status unpacked libjavascriptcoregtk-4.0-18:amd64 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:35 upgrade gir1.2-webkit2-4.0:amd64 2.20.1-0ubuntu0.16.04.1 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:35 status half-configured gir1.2-webkit2-4.0:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status unpacked gir1.2-webkit2-4.0:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status half-installed gir1.2-webkit2-4.0:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status half-installed gir1.2-webkit2-4.0:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status unpacked gir1.2-webkit2-4.0:amd64 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:35 status unpacked gir1.2-webkit2-4.0:amd64 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:35 upgrade gir1.2-javascriptcoregtk-4.0:amd64 2.20.1-0ubuntu0.16.04.1 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:35 status half-configured gir1.2-javascriptcoregtk-4.0:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status unpacked gir1.2-javascriptcoregtk-4.0:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status half-installed gir1.2-javascriptcoregtk-4.0:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status half-installed gir1.2-javascriptcoregtk-4.0:amd64 2.20.1-0ubuntu0.16.04.1
2018-05-09 06:59:35 status unpacked gir1.2-javascriptcoregtk-4.0:amd64 2.20.2-0ubuntu0.16.04.1
